5.4,12.8
9.7,4.2
5.9,6.7
4.8,13.7
4.0,2.8
3.2,15.6
9.2,19.5
17.3,18.9
8.8,13.6
14.8,14.8
10.6,15.4
5.0,16.1
0.9,3.8
15.3,7.8
11.3,18.5
11.4,12.4
1.5,19.7
1.8,14.1
8.0,18.4
4.2,1.8
15.2,4.1
4.9,0.8
12.2,15.2
7.6,10.2
0.8,14.6
19.2,7.0
2.9,2.6
2.4,17.2
5.3,18.9
2.8,1.6
15.3,19.5
18.2,13.8
12.4,19.0
19.4,6.4
18.4,3.7
11.6,18.6
0.8,1.5
18.4,2.6
6.7,2.7
1.3,13.8
7.8,18.6
7.6,1.9
14.3,14.9
19.7,8.0
16.7,6.7
10.4,17.9
14.0,11.1
2.7,14.8
17.5,8.5
10.7,15.4
8.4,9.3
6.1,19.5
10.1,16.6
0.7,0.1
9.1,10.1
7.0,10.3
15.1,1.8
10.9,7.9
3.9,19.1
17.0,3.2
5.8,1.2
5.7,3.5
0.7,13.5
7.6,5.7
13.5,9.4
9.4,13.4
9.8,10.1
10.3,17.2
17.4,18.6
6.7,13.3
10.2,0.6
4.6,10.5
4.5,0.0
5.2,14.8
3.9,15.9
14.9,0.8
9.3,9.2
18.4,9.3
8.0,3.8
8.5,9.3
3.9,2.6
10.4,12.5
15.3,5.1
10.1,11.9
2.9,4.2
9.9,4.8
17.3,19.1
16.4,5.5
12.6,14.6
10.5,17.6
11.2,18.9
17.2,1.1
18.1,6.1
18.5,18.4
3.9,11.7
3.7,11.1
3.9,7.8
14.5,5.2
2.5,1.8
8.0,6.8
10.8,19.2
7.2,11.4
11.1,9.5
12.0,8.9
0.6,13.1
15.2,19.0
14.3,0.9
16.6,18.2
11.9,5.5
0.7,17.3
17.4,3.6
13.1,13.9
8.3,4.6
18.8,6.4
12.7,5.1
16.0,16.9
16.4,15.7
15.2,9.4
8.5,18.9
19.8,17.8
19.4,19.0
9.2,11.2
0.1,8.0
15.6,2.9
12.6,3.6
10.4,1.9
6.0,3.4
15.8,10.7
18.4,9.4
17.0,19.1
0.3,16.4
15.1,9.6
0.6,18.5
17.4,16.3
4.0,9.6
9.0,12.2
16.6,18.4
19.9,4.9
17.5,1.7
12.3,5.0
11.3,14.7
11.6,14.4
17.8,11.6
16.4,2.9
17.6,19.7
6.7,14.4
17.2,2.1
17.2,7.9
17.7,10.3
0.2,14.2
15.5,14.8
1.3,5.5
18.2,9.3
7.7,7.5
7.9,17.8
6.8,19.7
7.5,3.5
12.5,4.2
3.9,18.4
10.0,17.8
16.6,1.4
3.7,14.1
11.2,4.2
11.5,2.5
4.3,1.2
0.2,1.6
8.0,15.8
9.2,10.1
13.8,17.4
12.7,13.1
6.2,6.7
16.5,18.4
4.6,18.8
17.6,5.9
18.2,5.9
11.3,0.7
4.1,13.1
4.0,16.1
14.9,0.5
16.3,5.4
2.1,19.0
9.9,19.5
9.6,15.5
2.9,2.0
5.8,4.9
7.7,2.5
13.0,13.4
7.7,1.5
4.8,0.0
9.1,7.5
11.6,5.0
2.7,13.2
10.4,4.7
17.6,11.2
12.2,19.7
5.9,18.5
11.1,8.4
0.7,19.6
20.0,18.2
3.7,10.4
14.2,10.1
19.1,8.3
15.7,7.9
1.7,14.3
14.6,11.8
9.6,12.5
12.6,10.8
19.6,7.2
